,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
1,yen,high,futures,cents,traders,euro,low,currency,crude,trading,demand,japanese,next,end,fell
1,0.010487956926226616,0.008915781043469906,0.00872104149311781,0.008663740009069443,0.008228913880884647,0.008132148534059525,0.007912433706223965,0.007810546085238457,0.007792842574417591,0.007708137854933739,0.007659121882170439,0.006321399472653866,0.005958676338195801,0.00569300027564168,0.005621341988444328
2,fiscal,double,claims,est,stock,tax,mln,linkreuterscom,price,target,time,spending,consumer,cuts,deal
2,0.02535327523946762,0.016799509525299072,0.01594993658363819,0.012793071568012238,0.012481964193284512,0.011203734204173088,0.010871383361518383,0.010209559462964535,0.009756214916706085,0.009751103818416595,0.009124519303441048,0.00846914853900671,0.008407847955822945,0.008259188383817673,0.007918426766991615
3,commodity,int,headlines,live,minute,view,usda,available,versions,bridgestation,stories,nikkei,multimedia,xtra,screen
3,0.010952895507216454,0.010201044380664825,0.009947702288627625,0.009839179925620556,0.009752904996275902,0.009626490995287895,0.009465837851166725,0.009394275024533272,0.009257077239453793,0.009199795313179493,0.009060494601726532,0.009002254344522953,0.008972388692200184,0.008942225016653538,0.008928694762289524
4,asia,index,usd,emerging,price,eci,brazil,europe,middle,asian,east,stocks,dollars,deal,fresh
4,0.029331926256418228,0.023915834724903107,0.01551551092416048,0.01467469334602356,0.014058704487979412,0.01210716925561428,0.011311674490571022,0.010186142288148403,0.008701111190021038,0.00852628331631422,0.008403299376368523,0.007150675170123577,0.0070639499463140965,0.00645612133666873,0.006013147067278624
5,pagename,explorer,newsxtopnewsaspx,emea,deals,front,foreign,banking,east,britain,dow,consumer,nasdaq,retail,money
5,0.007933788932859898,0.007932225242257118,0.007926229387521744,0.006888273172080517,0.006387415807694197,0.006102151237428188,0.006100689992308617,0.00602496275678277,0.006017214618623257,0.006012677680701017,0.006005658768117428,0.005988334305584431,0.005910975392907858,0.005907693412154913,0.005902275908738375
6,meeting,president,link,annual,federal,washington,united,reserve,diary,london,international,time,minister,policy,date
6,0.019240446388721466,0.017487019300460815,0.01585032045841217,0.015514202415943146,0.015042155049741268,0.01398764830082655,0.013121684081852436,0.012468906119465828,0.010587839409708977,0.009575949981808662,0.009505349211394787,0.009323088452219963,0.008503739722073078,0.008379053324460983,0.007857521995902061
7,billion,business,shares,deal,share,company,group,based,firm,industry,stock,buy,price,investors,capital
