,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
1,president,united,minister,link,annual,london,international,russia,crude,oil,opec,iran,nations,meeting,prime
1,0.013050762936472893,0.012735695578157902,0.012323507107794285,0.01227172464132309,0.010549958795309067,0.00969741865992546,0.009223908185958862,0.009174047037959099,0.008359534665942192,0.00817965529859066,0.008151194080710411,0.008089860901236534,0.007811069022864103,0.00772476103156805,0.007519966457039118
2,wealth,indicators,equity,africa,canada,help,america,expanded,industries,reutersstation,view,ent,xtra,consumer,macro
2,0.010478997603058815,0.010086416266858578,0.00992603600025177,0.009648879989981651,0.0095747085288167,0.009328546933829784,0.009045240469276905,0.008885751478374004,0.008757399395108223,0.008740310557186604,0.008721903897821903,0.008492561057209969,0.008480653166770935,0.00844988226890564,0.008409778587520123
3,sales,consumer,holiday,spending,rose,home,season,retail,fell,orders,retailers,confidence,report,goods,claims
3,0.0150898527354002,0.01175085362046957,0.009899742901325226,0.008613933809101582,0.00829993188381195,0.0070792194455862045,0.006300434935837984,0.00596134178340435,0.005619077943265438,0.005415530875325203,0.005379687994718552,0.00533390324562788,0.005198446102440357,0.005035132635384798,0.0048643071204423904
4,key,ecb,poll,swiss,events,japan,reserve,federal,boj,boe,emerging,snb,emrg,latest,frx
4,0.012320651672780514,0.011563592590391636,0.011115510016679764,0.011023739352822304,0.01094253920018673,0.010783561505377293,0.010153328068554401,0.01002862211316824,0.00984185840934515,0.009175225161015987,0.0077935559675097466,0.007662633899599314,0.007523640524595976,0.007270250003784895,0.007126792334020138
5,united,states,people,government,state,told,president,could,two,editing,one,country,washington,say,time
5,0.007666863035410643,0.007664929609745741,0.0074248784221708775,0.007095467299222946,0.005908763501793146,0.005483608227223158,0.005138946697115898,0.004975364077836275,0.004919418133795261,0.004842453170567751,0.004625807050615549,0.0043142251670360565,0.004234214313328266,0.0042285919189453125,0.004228203557431698
6,page,view,sports,stories,eci,commodity,minute,phone,indicators,find,xtra,headlines,multimedia,screen,live
6,0.010935102589428425,0.010090222582221031,0.009843172505497932,0.009712089784443378,0.009626963175833225,0.009415576234459877,0.0094023821875453,0.009377498179674149,0.009370428510010242,0.009332682937383652,0.009276561439037323,0.009268504567444324,0.009244154207408428,0.009206137619912624,0.00917371828109026
7,dollar,gold,yield,bond,investors,treasury,high,yields,end,trading,last,two,notes,higher,note
7,0.012687880545854568,0.011305480264127254,0.00954654160887003,0.009363838471472263,0.008926887065172195,0.008536533452570438,0.008296954445540905,0.008064805530011654,0.007453613914549351,0.007423941511660814,0.007419596891850233,0.007140005007386208,0.006385403219610453,0.0061941626481711864,0.0061939191073179245
8,nasdaq,stock,shares,dow,rose,trading,futures,average,points,gas,unit,investors,jones,industrial,fell
8,0.020916743203997612,0.01785106770694256,0.017633674666285515,0.01694582588970661,0.010018189437687397,0.009549720212817192,0.00931269209831953,0.00893227569758892,0.008811636827886105,0.008519933559000492,0.008395979180932045,0.007832176983356476,0.0072171809151768684,0.006508019287139177,0.006438272539526224
9,emea,france,agricultural,front,fra,metals,ele,deutschland,tab,gro,mtl,explorer,pagename,newsxtopnewsaspx,deals
9,0.007306845858693123,0.006520694587379694,0.006419268902391195,0.006382000632584095,0.006355682387948036,0.006350385956466198,0.00633253064006567,0.006331708747893572,0.006328183691948652,0.006322420667856932,0.006317168474197388,0.0061808861792087555,0.006170077249407768,0.0061686281114816666,0.006048503797501326
10,yen,currency,euro,japanese,dlr,tokyo,swiss,low,japan,forex,time,around,trading,next,high
10,0.019241822883486748,0.016774209216237068,0.015548250637948513,0.011518421582877636,0.010448304004967213,0.009073742665350437,0.00829114206135273,0.007973271422088146,0.00734045309945941,0.006681382190436125,0.006533746141940355,0.006513715256005526,0.006466803606599569,0.006324881222099066,0.006094587966799736
11,earnings,business,mln,washington,mortgage,capital,claims,deal,group,issues,time,ltd,investment,billion,services
11,0.011799386702477932,0.010521230287849903,0.009639274328947067,0.009301030077040195,0.009267469868063927,0.008795513771474361,0.008596079424023628,0.008559748530387878,0.008542257361114025,0.008283908478915691,0.007402956951409578,0.007128941360861063,0.007033988833427429,0.006976562086492777,0.006876845378428698
12,codes,metals,nymex,guide,brent,reports,precious,paper,report,gro,mtl,cash,regular,commodities,power
12,0.02853144332766533,0.026755094528198242,0.023148806765675545,0.020504260435700417,0.01837727800011635,0.016116531565785408,0.014367766678333282,0.014102805405855179,0.014067376032471657,0.014047903008759022,0.011321879923343658,0.009568708948791027,0.008943659253418446,0.008582624606788158,0.007227322086691856
13,diary,reserve,federal,meeting,policy,president,fed,ecb,monetary,trump,central,int,events,quotes,poll
13,0.04480087384581566,0.038220472633838654,0.03476764261722565,0.03040033020079136,0.02700846642255783,0.02287173457443714,0.01884615607559681,0.016993580386042595,0.015811221674084663,0.015414082445204258,0.015256618149578571,0.014196151867508888,0.011702550575137138,0.010803820565342903,0.010619638487696648
14,holiday,wheat,futures,corn,usda,grain,cents,chicago,export,weather,total,tonnes,exchange,crop,traders
14,0.07729850709438324,0.0252431258559227,0.024266669526696205,0.021833457052707672,0.0196231659501791,0.017396312206983566,0.01667686365544796,0.012049631215631962,0.011526193469762802,0.011417736299335957,0.009886379353702068,0.009812066331505775,0.008529476821422577,0.008188959211111069,0.007804234977811575
15,rating,ratings,fitch,tax,fiscal,service,revenue,credit,city,state,term,outlook,operating,cash,reserve
15,0.019222941249608994,0.013428306207060814,0.009602909907698631,0.008841440081596375,0.008444689214229584,0.00841494556516409,0.008275529369711876,0.008005952462553978,0.007707756012678146,0.00731833977624774,0.007006596773862839,0.006638687569648027,0.006350238341838121,0.006334565579891205,0.006254649255424738
