,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
1,diary,int,ecb,money,events,bonds,poll,emerging,visit,corporate,ifr,credit,basic,bond,fed
1,0.02468351647257805,0.018855314701795578,0.01588618755340576,0.01566474325954914,0.01410621963441372,0.014010013081133366,0.013178753666579723,0.012818430550396442,0.012490371242165565,0.011977212503552437,0.011845479719340801,0.01079066563397646,0.00992577988654375,0.009624043479561806,0.00956521276384592
2,nasdaq,close,open,volatility,paper,low,cut,volume,put,call,high,dow,trading,ftse,front
2,0.06015530228614807,0.05023716762661934,0.0495331846177578,0.043029189109802246,0.031225424259901047,0.02889092080295086,0.026829825714230537,0.023092588409781456,0.02244279906153679,0.020311130210757256,0.020223069936037064,0.01965695433318615,0.01752832718193531,0.01575193740427494,0.014332233928143978
3,currency,yen,japanese,tokyo,japan,close,eur,swiss,london,diary,around,forex,jpy,end,currencies
3,0.017687218263745308,0.01750735566020012,0.012550875544548035,0.010509929619729519,0.009835915639996529,0.009046075865626335,0.008946828544139862,0.008927826769649982,0.00878030713647604,0.008600904606282711,0.008501661010086536,0.00820786040276289,0.007825050503015518,0.007385546807199717,0.007376848720014095
4,futures,unit,chicago,trading,traders,volume,products,south,cash,cent,planned,total,trade,export,help
4,0.04520030692219734,0.028708182275295258,0.024011144414544106,0.021899189800024033,0.021850960329174995,0.019648943096399307,0.018472114577889442,0.01841146871447563,0.017411163076758385,0.01628141477704048,0.016241878271102905,0.015662482008337975,0.014658225700259209,0.014509627595543861,0.014295089058578014
5,government,united,president,people,states,state,two,editing,minister,told,country,washington,international,reporting,world
5,0.012839201837778091,0.012712360359728336,0.01201811246573925,0.011633425019681454,0.010365216061472893,0.009572665207087994,0.00873478315770626,0.007665135897696018,0.006880537141114473,0.006853042636066675,0.00672550592571497,0.0067145852372050285,0.006438430864363909,0.006434696260839701,0.005830442998558283
