,Count,date
0,15059,1996-01-01
1,17112,1996-02-01
2,16201,1996-03-01
3,14320,1996-04-01
4,16142,1996-05-01
5,12332,1996-06-01
6,16958,1996-07-01
7,14559,1996-08-01
8,16034,1996-09-01
9,19056,1996-10-01
10,16240,1996-11-01
11,16198,1996-12-01
12,17158,1997-01-01
13,18880,1997-02-01
14,18847,1997-03-01
15,21811,1997-04-01
16,20984,1997-05-01
17,21282,1997-06-01
18,23950,1997-07-01
19,24025,1997-08-01
20,25564,1997-09-01
21,35407,1997-10-01
22,30107,1997-11-01
23,27965,1997-12-01
24,26259,1998-01-01
25,20642,1998-02-01
26,44433,1998-03-01
27,45996,1998-04-01
28,44003,1998-05-01
29,42230,1998-06-01
30,41095,1998-07-01
31,40535,1998-08-01
32,38387,1998-09-01
33,47213,1998-10-01
34,39156,1998-11-01
35,32983,1998-12-01
36,37953,1999-01-01
37,39207,1999-02-01
38,43305,1999-03-01
39,44360,1999-04-01
40,36976,1999-05-01
41,37239,1999-06-01
42,39055,1999-07-01
43,31898,1999-08-01
44,31012,1999-09-01
45,35184,1999-10-01
46,32013,1999-11-01
47,27547,1999-12-01
48,32736,2000-01-01
49,33988,2000-02-01
50,30492,2000-03-01
51,29124,2000-04-01
52,29910,2000-05-01
53,28522,2000-06-01
54,30525,2000-07-01
55,28265,2000-08-01
56,28890,2000-09-01
57,34228,2000-10-01
58,30139,2000-11-01
59,25244,2000-12-01
60,34151,2001-01-01
61,30784,2001-02-01
62,30605,2001-03-01
63,26325,2001-04-01
64,30383,2001-05-01
65,33342,2001-06-01
66,36599,2001-07-01
67,30410,2001-08-01
68,35209,2001-09-01
69,42411,2001-10-01
70,33299,2001-11-01
71,26839,2001-12-01
72,31485,2002-01-01
73,31004,2002-02-01
74,29490,2002-03-01
75,34473,2002-04-01
76,29731,2002-05-01
77,27694,2002-06-01
78,35755,2002-07-01
79,27522,2002-08-01
80,27335,2002-09-01
81,34167,2002-10-01
82,26361,2002-11-01
83,25234,2002-12-01
84,43764,2003-01-01
85,43400,2003-02-01
86,47803,2003-03-01
87,48010,2003-04-01
88,45844,2003-05-01
89,45406,2003-06-01
90,55135,2003-07-01
91,43575,2003-08-01
92,49319,2003-09-01
93,54803,2003-10-01
94,46324,2003-11-01
95,47592,2003-12-01
96,48144,2004-01-01
97,52088,2004-02-01
98,57210,2004-03-01
99,56517,2004-04-01
100,48123,2004-05-01
101,48614,2004-06-01
102,57875,2004-07-01
103,51463,2004-08-01
104,47818,2004-09-01
